Project Name,Start Date,Present Date,Days Duration,Quoted Budget,Labor Cost,Material Cost,Machinery Cost
Bridge Green Initiative,2022-08-15,2024-03-11,574,3468760,1048749,1278278,468248
Power Plant Project,2022-12-29,2024-03-11,438,1015711,285994,325100,175505
Solar Farm Urban Planning,2022-11-14,2024-03-11,483,4725773,1196040,2284242,885255
Railway Renovation,2020-01-02,2024-03-11,1530,3948359,1313970,1386660,510950
Airport Masterplan,2020-04-30,2024-03-11,1411,3336784,1061106,1008339,612807
Oil Refinery Urban Planning,2021-07-14,2024-03-11,971,766942,228576,246660,86516
Highway Masterplan,2022-11-15,2024-03-11,482,3191399,793972,1280715,751554
Power Plant Construction,2023-12-17,2024-03-11,85,3563785,1219710,1687265,606922
Solar Farm Restoration,2023-08-28,2024-03-11,196,3063871,817731,1051773,631540
Hospital Roadwork,2024-01-19,2024-03-11,52,2357273,549218,788294,524049
Commercial Construction,2023-04-22,2024-03-11,324,4112991,1080106,1239417,798574
Railway Overhaul,2020-04-24,2024-03-11,1417,4683246,1022953,2300727,511076
Airport Masterplan,2022-03-20,2024-03-11,722,3167981,1017772,986163,690547
Metro Urban Planning,2022-08-03,2024-03-11,586,1026666,282963,436368,177058
Highway Industrial Zone,2020-03-18,2024-03-11,1454,3304548,633418,1521202,817792
Smart City Restoration,2021-03-17,2024-03-11,1090,4675746,1257571,2052085,797626
Hospital Restoration,2020-06-25,2024-03-11,1355,3158316,754293,1451723,474164
Highway Upgrade,2022-07-01,2024-03-11,619,1088817,215003,371650,171047
Power Plant Reconstruction,2022-04-26,2024-03-11,685,886947,169755,377263,189756
Smart City Development,2021-01-30,2024-03-11,1136,2351151,637579,876896,452888
Shopping Mall Upgrade,2023-02-16,2024-03-11,389,3661010,1268204,1467031,826445
Skyscraper Modernization,2023-05-13,2024-03-11,303,4472525,1306110,1911097,631060
Commercial Engineering,2020-03-17,2024-03-11,1455,4651856,1429013,1773702,1142080
Skyscraper Industrial Zone,2020-05-30,2024-03-11,1381,3399316,657816,1461189,762744
Residential Phase 1,2023-08-02,2024-03-11,222,1944203,410910,944791,317967
Hospital Infrastructure,2021-12-23,2024-03-11,809,1972134,420789,743507,393757
Luxury Apartment Industrial Zone,2022-03-04,2024-03-11,738,4203225,1245252,1407847,469379
Power Plant Megaproject,2022-05-15,2024-03-11,666,2278825,394758,918618,458942
Oil Refinery Project,2021-05-18,2024-03-11,1028,1686712,381953,581969,339079
Warehouse Reconstruction,2021-11-11,2024-03-11,851,4772707,1511216,1491265,1033029
Luxury Apartment Overhaul,2020-04-26,2024-03-11,1415,1396997,325436,422997,312947
Metro Urban Planning,2020-12-08,2024-03-11,1189,4536431,1052563,1974782,687011
Bridge Upgrade,2024-01-08,2024-03-11,63,1738946,512078,732895,252745
Tunnel Construction,2021-08-17,2024-03-11,937,2028503,516885,689964,210883
Tunnel Phase 1,2020-01-09,2024-03-11,1523,822590,279951,399231,112251
Solar Farm Masterplan,2020-09-08,2024-03-11,1280,1636806,549624,737517,293596
Industrial Green Initiative,2020-07-22,2024-03-11,1328,2467140,533291,914017,605284
Hospital Renovation,2022-05-01,2024-03-11,680,4573472,949870,2210903,1109733
Railway Overhaul,2021-08-19,2024-03-11,935,4055294,1186305,1978924,689344
Warehouse Industrial Zone,2022-06-30,2024-03-11,620,4512100,865790,1824542,551012
Residential Construction,2022-10-21,2024-03-11,507,947989,216094,397755,176222
Smart City Megaproject,2023-07-01,2024-03-11,254,2223641,771292,794695,355108
Residential Construction,2021-05-01,2024-03-11,1045,777389,137587,294526,152115
Luxury Apartment Reconstruction,2021-02-15,2024-03-11,1120,686727,116735,264436,142228
Commercial Project,2020-12-28,2024-03-11,1169,1306296,415261,435150,287193
Highway Restoration,2021-12-28,2024-03-11,804,4129273,1004402,1243154,971296
Water Treatment Infrastructure,2023-05-22,2024-03-11,294,4687231,1381327,2257107,566361
Tunnel Development,2022-05-21,2024-03-11,660,3624441,603564,1485110,815939
Luxury Apartment Urban Planning,2020-02-10,2024-03-11,1491,2565868,547435,1236374,364940
Tunnel Renovation,2022-05-20,2024-03-11,661,1079905,221601,364295,200486
Smart City Infrastructure,2024-02-06,2024-03-11,34,2174494,360937,806742,295447
Smart City Megaproject,2021-06-08,2024-03-11,1007,1110248,330923,402197,224169
Commercial Upgrade,2023-12-14,2024-03-11,88,2262655,668905,909283,537330
Hospital Modernization,2023-11-21,2024-03-11,111,2280739,540684,805642,522067
Skyscraper Upgrade,2020-08-13,2024-03-11,1306,752810,211705,310244,76478
Skyscraper Renovation,2022-04-24,2024-03-11,687,1292441,323723,401883,166350
Hydroelectric Dam Project,2022-12-21,2024-03-11,446,2169759,739298,1041904,266522
Commercial Overhaul,2020-04-15,2024-03-11,1426,1365764,343925,422491,246326
Smart City Renovation,2023-06-21,2024-03-11,264,1892615,305014,627025,380004
Office Complex Infrastructure,2022-03-17,2024-03-11,725,1061159,336066,330219,162504
Airport Masterplan,2020-07-04,2024-03-11,1346,3580041,883208,1720557,464062
Oil Refinery Revamp,2022-10-07,2024-03-11,521,4905763,756038,1631178,836545
Railway Reconstruction,2023-03-14,2024-03-11,363,1876323,387595,629223,196242
Office Complex Reconstruction,2022-11-25,2024-03-11,472,4333182,1328638,1977366,572220
Residential Project,2021-12-10,2024-03-11,822,594782,109721,279899,67910
Commercial Development,2020-09-01,2024-03-11,1287,1886307,488808,742501,334935
Hospital Reconstruction,2020-06-02,2024-03-11,1378,4237346,1069982,1575604,489744
Tunnel Infrastructure,2022-09-03,2024-03-11,555,3529613,1058322,1733698,554617
Oil Refinery Upgrade,2020-07-25,2024-03-11,1325,3312978,804719,1454218,531827
Commercial Roadwork,2023-05-05,2024-03-11,311,4725849,832700,1833113,612802
Luxury Apartment Modernization,2020-04-20,2024-03-11,1421,2646632,629603,1312793,347355
Water Treatment Reconstruction,2023-06-23,2024-03-11,262,1991622,390103,601430,211950
Residential Development,2021-11-16,2024-03-11,846,2166541,490067,749769,444323
Hospital Expansion,2021-02-21,2024-03-11,1114,3680337,614749,1621453,376639
Metro Green Initiative,2022-10-31,2024-03-11,497,4730235,1428023,1481213,608762
Airport Urban Planning,2020-01-04,2024-03-11,1528,1234373,374766,600783,211409
Commercial Green Initiative,2021-08-10,2024-03-11,944,4554973,1519650,1392582,647610
Water Treatment Reconstruction,2021-09-18,2024-03-11,905,409049,97886,191284,83666
Railway Green Initiative,2022-08-26,2024-03-11,563,1697404,393452,756322,181082
Office Complex Modernization,2020-11-22,2024-03-11,1205,484485,103123,232862,120828
Residential Green Initiative,2023-02-07,2024-03-11,398,2116810,441813,932809,458940
Solar Farm Expansion,2020-10-04,2024-03-11,1254,482176,157444,184011,86283
Railway Megaproject,2022-02-20,2024-03-11,750,2580058,592153,1141498,633564
Airport Phase 1,2021-10-05,2024-03-11,888,947507,212251,332453,171260
Hydroelectric Dam Urban Planning,2022-08-25,2024-03-11,564,4223889,1190695,1986103,720951
Residential Revamp,2021-04-16,2024-03-11,1060,537268,111510,162987,87003
Office Complex Modernization,2023-09-19,2024-03-11,174,773806,171995,350312,77592
Luxury Apartment Expansion,2022-01-10,2024-03-11,791,521282,140293,221188,109891
Tunnel Development,2021-05-04,2024-03-11,1042,3042571,974712,1112940,699371
Airport Masterplan,2021-08-19,2024-03-11,935,4164675,934557,1800314,562479
Water Treatment Upgrade,2022-03-06,2024-03-11,736,3959408,1338357,1299061,471468
Residential Construction,2021-06-19,2024-03-11,996,2515692,749908,1120611,519629
Hospital Industrial Zone,2022-10-07,2024-03-11,521,1184369,373791,435711,137871
Railway Modernization,2023-05-05,2024-03-11,311,1539871,277600,632736,239348
Airport Overhaul,2023-02-12,2024-03-11,393,4458507,808982,1972238,994190
Tunnel Development,2020-12-05,2024-03-11,1192,3372968,873682,1548128,739624
Railway Urban Planning,2023-04-18,2024-03-11,328,4088581,1397352,1725811,541581
Residential Renovation,2022-08-17,2024-03-11,572,2453859,694835,742632,262450
Hospital Green Initiative,2021-05-25,2024-03-11,1021,4182613,755127,1444552,1045586
Warehouse Infrastructure,2020-11-19,2024-03-11,1208,3114670,1061881,945902,543124
Office Complex Roadwork,2023-06-01,2024-03-11,284,734242,177008,309443,165145
Warehouse Renovation,2022-02-20,2024-03-11,750,2792264,801658,1026985,364299
Power Plant Project,2023-07-17,2024-03-11,238,3777482,1237246,1771878,403650
Hospital Engineering,2021-07-23,2024-03-11,962,2550429,705835,1025827,348438
Solar Farm Expansion,2021-10-15,2024-03-11,878,4561071,1121450,2084993,962587
Highway Expansion,2022-11-18,2024-03-11,479,2121927,367442,736535,215573
Warehouse Reconstruction,2021-10-15,2024-03-11,878,4127808,898275,1288123,530250
Metro Masterplan,2023-07-29,2024-03-11,226,2214367,716846,863474,493310
Smart City Renovation,2022-03-17,2024-03-11,725,1525358,293451,733354,322629
Water Treatment Green Initiative,2020-04-21,2024-03-11,1420,942267,288258,309694,98467
Solar Farm Roadwork,2022-11-24,2024-03-11,473,4193029,1309033,1810102,917484
Luxury Apartment Phase 1,2020-09-22,2024-03-11,1266,2225146,774507,1057196,384472
Industrial Reconstruction,2022-08-27,2024-03-11,562,1448538,450089,531196,192573
Solar Farm Development,2024-01-17,2024-03-11,54,4713951,742410,2318034,917038
Railway Overhaul,2021-10-30,2024-03-11,863,989207,320957,454223,158415
Commercial Upgrade,2020-08-20,2024-03-11,1299,1817128,294371,721064,263551
Warehouse Reconstruction,2020-12-12,2024-03-11,1185,2860171,768798,1331567,620591
Residential Infrastructure,2022-06-20,2024-03-11,630,1983800,687336,978750,409500
Hydroelectric Dam Urban Planning,2022-02-07,2024-03-11,763,2869247,579304,1304713,433141
Solar Farm Expansion,2020-11-30,2024-03-11,1197,395266,84951,137273,48747
Hospital Overhaul,2022-11-26,2024-03-11,471,2502687,625398,1107092,424760
Skyscraper Megaproject,2022-08-23,2024-03-11,566,440442,142664,192624,104373
Water Treatment Phase 1,2020-05-06,2024-03-11,1405,2904406,940478,1291162,362195
Airport Expansion,2023-04-30,2024-03-11,316,3920108,1168948,1472382,920330
Luxury Apartment Restoration,2022-04-12,2024-03-11,699,3056731,565642,950095,717584
Tunnel Engineering,2023-11-26,2024-03-11,106,2665645,660611,1089203,421076
Commercial Upgrade,2021-01-10,2024-03-11,1156,4704716,1143961,2267245,705978
Luxury Apartment Revamp,2021-08-16,2024-03-11,938,4665469,1152974,1978959,890372
Skyscraper Overhaul,2022-08-07,2024-03-11,582,2921158,1016893,902134,341406
Tunnel Project,2021-02-17,2024-03-11,1118,2441862,778140,740777,328514
Hydroelectric Dam Green Initiative,2022-06-15,2024-03-11,635,1886939,552655,740934,384768
Water Treatment Masterplan,2023-06-02,2024-03-11,283,2660962,775393,1135812,397446
Railway Development,2023-11-27,2024-03-11,105,3668338,574322,1744788,463101
Railway Masterplan,2020-06-23,2024-03-11,1357,4363035,884635,1349982,903710
Hydroelectric Dam Upgrade,2021-04-26,2024-03-11,1050,1307699,223057,546122,240332
Water Treatment Modernization,2020-06-30,2024-03-11,1350,2830992,726662,932548,656548
Airport Roadwork,2022-08-19,2024-03-11,570,3943281,599612,1468010,902909
Smart City Phase 1,2021-08-16,2024-03-11,938,627957,96411,263005,149007
Power Plant Phase 1,2023-05-23,2024-03-11,293,2436944,791140,843689,422145
Industrial Urban Planning,2020-12-27,2024-03-11,1170,3378896,733005,1628059,620451
Oil Refinery Upgrade,2022-02-25,2024-03-11,745,2280737,418766,690313,496790
Luxury Apartment Reconstruction,2022-11-25,2024-03-11,472,1335659,319986,401632,186737
Hydroelectric Dam Roadwork,2021-08-28,2024-03-11,926,4805595,864463,1977099,577172
Residential Overhaul,2022-06-23,2024-03-11,627,4247469,1014249,1298594,834255
Smart City Project,2020-08-11,2024-03-11,1308,3875294,622377,1875028,410108
Shopping Mall Revamp,2022-04-14,2024-03-11,697,4938241,1666235,1790969,757131
Hydroelectric Dam Expansion,2022-05-14,2024-03-11,667,4035781,1014937,1680861,619202
Smart City Reconstruction,2022-05-29,2024-03-11,652,3722860,985189,1542134,665492
Smart City Engineering,2021-09-06,2024-03-11,917,304491,58111,122954,61842
Solar Farm Restoration,2020-02-13,2024-03-11,1488,1408330,262938,685880,247014
Hospital Project,2021-05-21,2024-03-11,1025,1091560,227935,402229,135035
Oil Refinery Reconstruction,2021-05-02,2024-03-11,1044,2945339,947597,1289472,456004
Oil Refinery Expansion,2021-01-25,2024-03-11,1141,2260806,569780,967261,520676
Tunnel Revamp,2021-01-01,2024-03-11,1165,4352748,881752,1987520,719667
Shopping Mall Infrastructure,2021-01-05,2024-03-11,1161,4075183,1308625,1800564,419654
Residential Upgrade,2022-02-06,2024-03-11,764,1783486,277730,704139,300245
Luxury Apartment Restoration,2022-05-13,2024-03-11,668,1302956,405996,415811,229439
Oil Refinery Development,2023-06-14,2024-03-11,271,2938955,721849,1226509,624576
Luxury Apartment Phase 1,2024-01-24,2024-03-11,47,4749555,1299786,1429684,488337
Airport Renovation,2021-03-27,2024-03-11,1080,2111328,377237,1042298,365222
Solar Farm Expansion,2023-05-19,2024-03-11,297,4363633,1359297,1319423,1004846
Smart City Reconstruction,2021-06-01,2024-03-11,1014,1026922,325756,430411,117996
Skyscraper Project,2021-07-21,2024-03-11,964,2521777,417194,1225070,309969
Metro Construction,2021-02-09,2024-03-11,1126,2513851,717588,964689,560970
Power Plant Expansion,2021-09-25,2024-03-11,898,4841088,1143485,2330043,532655
Hospital Construction,2021-04-29,2024-03-11,1047,2919147,566184,1235826,331028
Hydroelectric Dam Urban Planning,2020-04-24,2024-03-11,1417,4050200,908562,1526405,901389
Water Treatment Revamp,2023-10-26,2024-03-11,137,850246,170542,369937,143345
Metro Renovation,2020-02-29,2024-03-11,1472,4881683,1076166,1604715,557192
Water Treatment Phase 1,2021-12-19,2024-03-11,813,3414449,1133925,1438920,827034
Bridge Overhaul,2023-09-15,2024-03-11,178,3131264,1057746,1249852,491827
Airport Industrial Zone,2022-05-04,2024-03-11,677,2993943,741875,1262502,577654
Hospital Phase 1,2021-08-03,2024-03-11,951,4758321,1080216,1471901,641599
Smart City Expansion,2022-03-08,2024-03-11,734,4475655,1069364,1586103,544153
Luxury Apartment Construction,2020-07-09,2024-03-11,1341,2484851,445060,1136868,404753
Metro Construction,2023-02-02,2024-03-11,403,4381951,1116351,1346499,1076786
Commercial Phase 1,2022-12-26,2024-03-11,441,1763312,538129,576706,412848
Commercial Project,2020-04-22,2024-03-11,1419,2735124,764768,971266,283150
Warehouse Green Initiative,2022-12-25,2024-03-11,442,2146517,580382,998299,349524
Office Complex Roadwork,2020-10-15,2024-03-11,1243,3565562,598986,1597866,751269
Hospital Overhaul,2020-10-29,2024-03-11,1229,3046195,458460,1272394,580694
Tunnel Infrastructure,2022-10-09,2024-03-11,519,2327573,742765,1075554,393414
Residential Phase 1,2020-08-29,2024-03-11,1290,1588879,353036,595834,382317
Smart City Renovation,2021-11-01,2024-03-11,861,2590498,683021,893425,357162
Commercial Industrial Zone,2022-08-07,2024-03-11,582,2087201,562821,697256,277025
Highway Project,2021-04-09,2024-03-11,1067,4299135,1465836,1837017,444656
Industrial Reconstruction,2022-06-22,2024-03-11,628,4139199,845452,1815343,707991
Oil Refinery Phase 1,2021-10-04,2024-03-11,889,2884226,694580,1233922,393339
Tunnel Green Initiative,2022-12-02,2024-03-11,465,1015677,246411,391297,184553
Warehouse Development,2022-11-07,2024-03-11,490,4320496,746957,1733026,667591
Airport Infrastructure,2020-12-07,2024-03-11,1190,4611602,1416486,1556395,758122
Bridge Roadwork,2020-12-21,2024-03-11,1176,1453904,356517,703787,167479
Oil Refinery Green Initiative,2023-04-14,2024-03-11,332,880813,135642,272964,194414
Highway Engineering,2020-07-29,2024-03-11,1321,2655174,548437,1058523,481693
Metro Restoration,2021-08-07,2024-03-11,947,1712642,585798,844612,311445
Highway Industrial Zone,2023-11-04,2024-03-11,128,2901926,569686,1249480,709207
Hydroelectric Dam Phase 1,2022-10-01,2024-03-11,527,2624981,849193,908247,435129
Railway Construction,2022-07-26,2024-03-11,594,511541,147986,160877,112615
Solar Farm Upgrade,2022-11-03,2024-03-11,494,3875265,1096370,1805931,927954
Airport Project,2022-10-11,2024-03-11,517,1157855,391946,370221,209951
Hydroelectric Dam Reconstruction,2022-09-14,2024-03-11,544,2831693,765049,875595,499565
Bridge Industrial Zone,2021-03-06,2024-03-11,1101,3617654,1253062,1786951,596144
Hospital Revamp,2021-11-23,2024-03-11,839,1633112,463283,709050,376601
Commercial Engineering,2021-03-25,2024-03-11,1082,1673100,377054,797903,209186
Industrial Reconstruction,2024-01-09,2024-03-11,62,4139736,706378,1442725,459938
Highway Infrastructure,2021-09-04,2024-03-11,919,4042335,643598,1318929,995005
Solar Farm Modernization,2022-10-03,2024-03-11,525,2526495,467960,813573,505470
Warehouse Phase 1,2023-06-21,2024-03-11,264,4965539,1602418,1927624,523489
Warehouse Project,2022-02-12,2024-03-11,758,1007585,347864,374890,142112
Residential Renovation,2023-02-20,2024-03-11,385,4606490,1154776,1513111,516665
Metro Construction,2023-03-13,2024-03-11,364,1396366,404045,626159,213352
Oil Refinery Green Initiative,2022-09-16,2024-03-11,542,1335199,283346,609685,323155
Smart City Green Initiative,2020-11-21,2024-03-11,1206,1334075,422956,443370,216461
Solar Farm Megaproject,2021-10-30,2024-03-11,863,1944634,435854,836600,280495
Hydroelectric Dam Modernization,2022-03-12,2024-03-11,730,2647540,625141,979041,574627
Luxury Apartment Roadwork,2023-01-31,2024-03-11,405,3169349,997808,1413182,402651
Shopping Mall Green Initiative,2021-09-13,2024-03-11,910,3815214,698954,1851637,650422
Railway Renovation,2022-01-28,2024-03-11,773,3550847,675118,1556479,385191
Skyscraper Infrastructure,2021-04-22,2024-03-11,1054,669317,129242,232056,134219
Hydroelectric Dam Megaproject,2022-08-19,2024-03-11,570,4289835,1375160,1809112,608478
Residential Construction,2021-03-20,2024-03-11,1087,3058729,713151,1105396,673090
Hydroelectric Dam Infrastructure,2020-11-29,2024-03-11,1198,668608,147870,314684,156724
Skyscraper Project,2021-01-11,2024-03-11,1155,1392054,235007,545522,231598
Metro Project,2023-04-11,2024-03-11,335,3896660,726208,1245467,892571
Oil Refinery Engineering,2022-06-19,2024-03-11,631,980162,195222,338089,106777
Solar Farm Masterplan,2023-06-20,2024-03-11,265,3049387,639099,1058939,395739
Water Treatment Expansion,2020-11-09,2024-03-11,1218,648303,135283,237694,120283
Shopping Mall Masterplan,2020-01-22,2024-03-11,1510,3320128,1154737,1440882,829127
Railway Project,2023-09-02,2024-03-11,191,746520,203135,343058,86812
Power Plant Industrial Zone,2021-11-02,2024-03-11,860,2244787,554797,800447,480115
Railway Megaproject,2020-03-11,2024-03-11,1461,1111842,300281,402198,197638
Office Complex Roadwork,2020-11-16,2024-03-11,1211,2905135,635450,1240930,525895
Luxury Apartment Megaproject,2020-04-08,2024-03-11,1433,503889,92703,178947,80816
Oil Refinery Development,2020-02-02,2024-03-11,1499,4666032,832371,1803218,1073170
Smart City Roadwork,2020-04-11,2024-03-11,1430,1918686,291575,653419,356690
Shopping Mall Phase 1,2020-08-26,2024-03-11,1293,725693,139063,322785,143961
Skyscraper Overhaul,2020-05-02,2024-03-11,1409,2642786,430709,1193481,395577
Industrial Restoration,2020-08-21,2024-03-11,1298,3189082,608823,1108931,323041
Luxury Apartment Upgrade,2023-04-11,2024-03-11,335,3431043,945869,1652417,685342
Tunnel Engineering,2023-11-29,2024-03-11,103,1027538,246478,453495,228158
Shopping Mall Phase 1,2023-02-27,2024-03-11,378,513623,137582,180168,87706
Commercial Renovation,2020-05-23,2024-03-11,1388,1224826,330338,455432,161144
Water Treatment Restoration,2022-04-03,2024-03-11,708,4936127,1086433,2446847,941169
Residential Engineering,2021-08-21,2024-03-11,933,323815,110660,134387,68656
Industrial Revamp,2021-09-26,2024-03-11,897,780965,238283,374379,93318
Airport Roadwork,2020-12-20,2024-03-11,1177,4600522,751683,1596958,710045
Commercial Engineering,2020-02-05,2024-03-11,1496,2757170,658463,898711,276211
Shopping Mall Expansion,2021-01-21,2024-03-11,1145,4983372,990688,1554160,827457
Metro Construction,2020-12-18,2024-03-11,1179,595777,144339,256543,115403
Power Plant Renovation,2022-02-19,2024-03-11,751,4473622,697696,1496147,827534
Residential Megaproject,2023-09-05,2024-03-11,188,1057471,161219,434607,245024
Tunnel Expansion,2021-08-04,2024-03-11,950,3400651,1068481,1275024,539531
Metro Expansion,2022-11-07,2024-03-11,490,4739932,984114,2220265,755562
Airport Industrial Zone,2020-08-24,2024-03-11,1295,328394,96225,119111,38195
Warehouse Megaproject,2020-09-24,2024-03-11,1264,4974687,1124744,1953320,798101
Smart City Construction,2021-05-22,2024-03-11,1024,1522234,345063,549449,236239
Office Complex Upgrade,2020-10-18,2024-03-11,1240,646505,194867,209737,65036
Skyscraper Overhaul,2022-02-03,2024-03-11,767,2317818,578174,830731,477471
